[H[2J[3JPosibles boot master
boot master: 73.89.221.25  Grados: 18
boot master: 185.109.34.183  Grados: 18
#################
Arista mas larga: 
#################
2902 - 1073 : 61
10653 - 1074 : 17
11450 - 1075 : 73
11013 - 1076 : 11
12996 - 1077 : 87
9782 - 1078 : 36
10073 - 1079 : 39
10766 - 1080 : 26
4550 - 1081 : 19
3487 - 1082 : 81
414 - 1083 : 52
12422 - 1084 : 13
8411 - 1085 : 63
9574 - 1086 : 40
7185 - 1087 : 16
6192 - 1088 : 96
7672 - 1089 : 51
4095 - 1090 : 60
6585 - 1091 : 57
2044 - 1092 : 50
4337 - 1093 : 15
4796 - 1094 : 121
4822 - 1095 : 12
11158 - 1096 : 15
5988 - 1097 : 29
2980 - 1098 : 185
7768 - 1099 : 10
2357 - 1100 : 54
1412 - 1101 : 201
2733 - 1102 : 20
10906 - 1103 : 55
7937 - 1104 : 39
4772 - 1105 : 39
9038 - 1106 : 85
7318 - 1107 : 35
6732 - 1108 : 36
1301 - 1109 : 37
11742 - 1110 : 38
11247 - 1111 : 57
2220 - 1112 : 42
10377 - 1113 : 75
8046 - 1114 : 39
4242 - 1115 : 38
11253 - 1116 : 67
10937 - 1117 : 57
398 - 1118 : 137
8507 - 1119 : 24
2533 - 1120 : 98
2716 - 1121 : 70
6119 - 1122 : 60
6860 - 1123 : 70
9193 - 1124 : 13
2880 - 1125 : 55
8502 - 1126 : 49
7901 - 1127 : 56
8640 - 1128 : 199
4321 - 1129 : 86
10685 - 1130 : 78
3478 - 1131 : 49
6689 - 1132 : 52
7445 - 1133 : 48
11512 - 1134 : 167
6111 - 1135 : 22
7364 - 1136 : 34
5936 - 1137 : 53
1299 - 1138 : 20
5995 - 1139 : 80
45 - 1140 : 59
3610 - 1141 : 45
6783 - 1142 : 10
9543 - 1143 : 24
11241 - 1144 : 117
13311 - 1145 : 34
10171 - 1146 : 43
9300 - 1147 : 27
6611 - 1148 : 86
3284 - 1149 : 11
2854 - 1150 : 21
7710 - 1151 : 63
244 - 1152 : 108
405 - 1153 : 28
1033 - 1154 : 41
1859 - 1155 : 49
2034 - 1156 : 28
11128 - 1157 : 33
3020 - 1158 : 71
5659 - 1159 : 12
1356 - 1160 : 17
8467 - 1161 : 64
9868 - 1162 : 16
13272 - 1163 : 30
2473 - 1164 : 43
8672 - 1165 : 65
1831 - 1166 : 13
2220 - 1167 : 66
12979 - 1168 : 16
12810 - 1169 : 26
10075 - 1170 : 52
8524 - 1171 : 28
6604 - 1172 : 57
11817 - 1173 : 66
10214 - 1174 : 25
5358 - 1175 : 90
3598 - 1176 : 144
8197 - 1177 : 32
938 - 1178 : 10
10715 - 1179 : 108
13087 - 1180 : 37
5605 - 1181 : 83
5520 - 1182 : 86
6667 - 1183 : 148
2826 - 1184 : 45
6621 - 1185 : 28
6815 - 1186 : 35
7984 - 1187 : 78
11599 - 1188 : 53
3877 - 1189 : 42
1108 - 1190 : 69
9383 - 1191 : 27
12407 - 1192 : 29
12682 - 1193 : 100
1698 - 1194 : 28
3818 - 1195 : 46
11161 - 1196 : 61
4140 - 1197 : 32
2523 - 1198 : 156
8936 - 1199 : 77
4776 - 1200 : 74
3930 - 1201 : 60
862 - 1202 : 85
9734 - 1203 : 25
2119 - 1204 : 191
3102 - 1205 : 58
1403 - 1206 : 102
9219 - 1207 : 42
6664 - 1208 : 21
9485 - 1209 : 17
9901 - 1210 : 37
8370 - 1211 : 56
6986 - 1212 : 23
1600 - 1213 : 34
4882 - 1214 : 46
12219 - 1215 : 32
8275 - 1216 : 63
9568 - 1217 : 53
8323 - 1218 : 79
6755 - 1219 : 49
911 - 1220 : 47
8869 - 1221 : 39
